D:/GIT/Code_Database/Multi_Python/stc_1000mb/stc_1000mb-0001-generatorportresults.csv for periodic results

================== Periodic Results: GeneratorPortResults Record #1
generatorportresults1,"",port1,"Port //2/1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,null,null,null,null,null,null,null,null,
generatorportresults2,"",port2,"Port //2/2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,null,null,null,null,null,null,null,null,
generatorportresults3,"",port3,"Port //2/3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,null,null,null,null,null,null,null,null,
generatorportresults4,"",port4,"Port //2/4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,null,null,null,null,null,null,null,null,
generatorportresults5,"",port5,"Port //2/5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,null,null,null,null,null,null,null,null,
generatorportresults6,"",port6,"Port //2/6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,null,null,null,null,null,null,null,null,

================== Periodic Results: GeneratorPortResults Record #3
ResultObject,ResultObjectName,ResultParent,ResultParentName,TotalFrameCount,TotalOctetCount,GeneratorFrameCount,GeneratorOctetCount,GeneratorSigFrameCount,GeneratorUndersizeFrameCount,GeneratorOversizeFrameCount,GeneratorJumboFrameCount,TotalFrameRate,TotalOctetRate,GeneratorFrameRate,GeneratorOctetRate,GeneratorSigFrameRate,GeneratorUndersizeFrameRate,GeneratorOversizeFrameRate,GeneratorJumboFrameRate,GeneratorCrcErrorFrameCount,GeneratorL3ChecksumErrorCount,GeneratorL4ChecksumErrorCount,GeneratorCrcErrorFrameRate,GeneratorL3ChecksumErrorRate,GeneratorL4ChecksumErrorRate,TotalIpv4FrameCount,TotalIpv6FrameCount,TotalMplsFrameCount,GeneratorIpv4FrameCount,GeneratorIpv6FrameCount,GeneratorVlanFrameCount,GeneratorMplsFrameCount,TotalIpv4FrameRate,TotalIpv6FrameRate,TotalMplsFrameRate,GeneratorIpv4FrameRate,GeneratorIpv6FrameRate,GeneratorVlanFrameRate,GeneratorMplsFrameRate,TotalBitRate,GeneratorBitRate,L1BitCount,L1BitRate,PfcFrameCount,PfcPri0FrameCount,PfcPri1FrameCount,PfcPri2FrameCount,PfcPri3FrameCount,PfcPri4FrameCount,PfcPri5FrameCount,PfcPri6FrameCount,PfcPri7FrameCount,

generatorportresults1,"",port1,"Port //2/1",19547,2502016,19547,2502016,19547,0,0,0,19547,2502003,19547,2502003,19547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20016024,20016024,23143648,23143524,null,null,null,null,null,null,null,null,null,
generatorportresults2,"",port2,"Port //2/2",57569,7368832,57569,7368832,57569,0,0,0,57566,7368458,57566,7368458,57566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58947664,58947664,68161696,68158237,null,null,null,null,null,null,null,null,null,
generatorportresults3,"",port3,"Port //2/3",20146,2578688,20146,2578688,20146,0,0,0,20135,2577282,20135,2577282,20135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20618256,20618256,23852864,23839856,null,null,null,null,null,null,null,null,null,
generatorportresults4,"",port4,"Port //2/4",57469,7356032,57469,7356032,57469,0,0,0,57471,7356307,57471,7356307,57471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58850456,58850456,68043296,68045844,null,null,null,null,null,null,null,null,null,
generatorportresults5,"",port5,"Port //2/5",51733,6621824,51733,6621824,51733,0,0,0,51730,6621432,51730,6621432,51730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52971456,52971456,61251872,61248246,null,null,null,null,null,null,null,null,null,
generatorportresults6,"",port6,"Port //2/6",3765,481920,3765,481920,3765,0,0,0,3765,481895,3765,481895,3765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3855160,3855160,4457760,4457525,null,null,null,null,null,null,null,null,null,

================== Periodic Results: GeneratorPortResults Record #4
ResultObject,ResultObjectName,ResultParent,ResultParentName,TotalFrameCount,TotalOctetCount,GeneratorFrameCount,GeneratorOctetCount,GeneratorSigFrameCount,GeneratorUndersizeFrameCount,GeneratorOversizeFrameCount,GeneratorJumboFrameCount,TotalFrameRate,TotalOctetRate,GeneratorFrameRate,GeneratorOctetRate,GeneratorSigFrameRate,GeneratorUndersizeFrameRate,GeneratorOversizeFrameRate,GeneratorJumboFrameRate,GeneratorCrcErrorFrameCount,GeneratorL3ChecksumErrorCount,GeneratorL4ChecksumErrorCount,GeneratorCrcErrorFrameRate,GeneratorL3ChecksumErrorRate,GeneratorL4ChecksumErrorRate,TotalIpv4FrameCount,TotalIpv6FrameCount,TotalMplsFrameCount,GeneratorIpv4FrameCount,GeneratorIpv6FrameCount,GeneratorVlanFrameCount,GeneratorMplsFrameCount,TotalIpv4FrameRate,TotalIpv6FrameRate,TotalMplsFrameRate,GeneratorIpv4FrameRate,GeneratorIpv6FrameRate,GeneratorVlanFrameRate,GeneratorMplsFrameRate,TotalBitRate,GeneratorBitRate,L1BitCount,L1BitRate,PfcFrameCount,PfcPri0FrameCount,PfcPri1FrameCount,PfcPri2FrameCount,PfcPri3FrameCount,PfcPri4FrameCount,PfcPri5FrameCount,PfcPri6FrameCount,PfcPri7FrameCount,

generatorportresults1,"",port1,"Port //2/1",104008,13313024,104008,13313024,104008,0,0,0,52003,6656379,52003,6656379,52003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53251032,53251032,123145472,61571505,null,null,null,null,null,null,null,null,null,
generatorportresults2,"",port2,"Port //2/2",142027,18179456,142027,18179456,142027,0,0,0,71013,9089655,71013,9089655,71013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72717240,72717240,168159968,84079309,null,null,null,null,null,null,null,null,null,
generatorportresults3,"",port3,"Port //2/3",104600,13388800,104600,13388800,104600,0,0,0,52297,6694022,52297,6694022,52297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53552176,53552176,123846400,61919702,null,null,null,null,null,null,null,null,null,
generatorportresults4,"",port4,"Port //2/4",141931,18167168,141931,18167168,141931,0,0,0,70966,9083574,70966,9083574,70966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72668592,72668592,168046304,84023060,null,null,null,null,null,null,null,null,null,
generatorportresults5,"",port5,"Port //2/5",136188,17432064,136188,17432064,136188,0,0,0,68095,8716156,68095,8716156,68095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69729248,69729248,161246592,80624445,null,null,null,null,null,null,null,null,null,
generatorportresults6,"",port6,"Port //2/6",88219,11292032,88219,11292032,88219,0,0,0,44113,5646376,44113,5646376,44113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45171008,45171008,104451296,52228976,null,null,null,null,null,null,null,null,null,

================== Periodic Results: GeneratorPortResults Record #5
ResultObject,ResultObjectName,ResultParent,ResultParentName,TotalFrameCount,TotalOctetCount,GeneratorFrameCount,GeneratorOctetCount,GeneratorSigFrameCount,GeneratorUndersizeFrameCount,GeneratorOversizeFrameCount,GeneratorJumboFrameCount,TotalFrameRate,TotalOctetRate,GeneratorFrameRate,GeneratorOctetRate,GeneratorSigFrameRate,GeneratorUndersizeFrameRate,GeneratorOversizeFrameRate,GeneratorJumboFrameRate,GeneratorCrcErrorFrameCount,GeneratorL3ChecksumErrorCount,GeneratorL4ChecksumErrorCount,GeneratorCrcErrorFrameRate,GeneratorL3ChecksumErrorRate,GeneratorL4ChecksumErrorRate,TotalIpv4FrameCount,TotalIpv6FrameCount,TotalMplsFrameCount,GeneratorIpv4FrameCount,GeneratorIpv6FrameCount,GeneratorVlanFrameCount,GeneratorMplsFrameCount,TotalIpv4FrameRate,TotalIpv6FrameRate,TotalMplsFrameRate,GeneratorIpv4FrameRate,GeneratorIpv6FrameRate,GeneratorVlanFrameRate,GeneratorMplsFrameRate,TotalBitRate,GeneratorBitRate,L1BitCount,L1BitRate,PfcFrameCount,PfcPri0FrameCount,PfcPri1FrameCount,PfcPri2FrameCount,PfcPri3FrameCount,PfcPri4FrameCount,PfcPri5FrameCount,PfcPri6FrameCount,PfcPri7FrameCount,

generatorportresults1,"",port1,"Port //2/1",188468,24123904,188468,24123904,188468,0,0,0,62822,8041193,62822,8041193,62822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64329544,64329544,223146112,74381031,null,null,null,null,null,null,null,null,null,
generatorportresults2,"",port2,"Port //2/2",226488,28990464,226488,28990464,226488,0,0,0,75495,9663349,75495,9663349,75495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77306792,77306792,268161792,89385974,null,null,null,null,null,null,null,null,null,
generatorportresults3,"",port3,"Port //2/3",189059,24199552,189059,24199552,189059,0,0,0,63018,8066287,63018,8066287,63018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64530296,64530296,223845856,74613150,null,null,null,null,null,null,null,null,null,
generatorportresults4,"",port4,"Port //2/4",226389,28977792,226389,28977792,226389,0,0,0,75463,9659308,75463,9659308,75463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77274464,77274464,268044576,89348602,null,null,null,null,null,null,null,null,null,
generatorportresults5,"",port5,"Port //2/5",220652,28243456,220652,28243456,220652,0,0,0,73550,9414337,73550,9414337,73550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75314696,75314696,261251968,87082615,null,null,null,null,null,null,null,null,null,
generatorportresults6,"",port6,"Port //2/6",172681,22103168,172681,22103168,172681,0,0,0,57562,7367858,57562,7367858,57562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58942864,58942864,204454304,68152680,null,null,null,null,null,null,null,null,null,

================== Periodic Results: GeneratorPortResults Record #6
ResultObject,ResultObjectName,ResultParent,ResultParentName,TotalFrameCount,TotalOctetCount,GeneratorFrameCount,GeneratorOctetCount,GeneratorSigFrameCount,GeneratorUndersizeFrameCount,GeneratorOversizeFrameCount,GeneratorJumboFrameCount,TotalFrameRate,TotalOctetRate,GeneratorFrameRate,GeneratorOctetRate,GeneratorSigFrameRate,GeneratorUndersizeFrameRate,GeneratorOversizeFrameRate,GeneratorJumboFrameRate,GeneratorCrcErrorFrameCount,GeneratorL3ChecksumErrorCount,GeneratorL4ChecksumErrorCount,GeneratorCrcErrorFrameRate,GeneratorL3ChecksumErrorRate,GeneratorL4ChecksumErrorRate,TotalIpv4FrameCount,TotalIpv6FrameCount,TotalMplsFrameCount,GeneratorIpv4FrameCount,GeneratorIpv6FrameCount,GeneratorVlanFrameCount,GeneratorMplsFrameCount,TotalIpv4FrameRate,TotalIpv6FrameRate,TotalMplsFrameRate,GeneratorIpv4FrameRate,GeneratorIpv6FrameRate,GeneratorVlanFrameRate,GeneratorMplsFrameRate,TotalBitRate,GeneratorBitRate,L1BitCount,L1BitRate,PfcFrameCount,PfcPri0FrameCount,PfcPri1FrameCount,PfcPri2FrameCount,PfcPri3FrameCount,PfcPri4FrameCount,PfcPri5FrameCount,PfcPri6FrameCount,PfcPri7FrameCount,

generatorportresults1,"",port1,"Port //2/1",272927,34934656,272927,34934656,272927,0,0,0,84459,10810791,84459,10810791,84459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86486328,86486328,323145568,99999816,null,null,null,null,null,null,null,null,null,
generatorportresults2,"",port2,"Port //2/2",310945,39800960,310945,39800960,310945,0,0,0,84459,10810799,84459,10810799,84459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86486392,86486392,368158880,99999885,null,null,null,null,null,null,null,null,null,
generatorportresults3,"",port3,"Port //2/3",273519,35010432,273519,35010432,273519,0,0,0,84459,10810790,84459,10810790,84459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86486320,86486320,323846496,99999803,null,null,null,null,null,null,null,null,null,
generatorportresults4,"",port4,"Port //2/4",310850,39788800,310850,39788800,310850,0,0,0,84459,10810796,84459,10810796,84459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86486368,86486368,368046400,99999861,null,null,null,null,null,null,null,null,null,
generatorportresults5,"",port5,"Port //2/5",305106,39053568,305106,39053568,305106,0,0,0,84460,10810805,84460,10810805,84460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86486440,86486440,361245504,99999947,null,null,null,null,null,null,null,null,null,
generatorportresults6,"",port6,"Port //2/6",257138,32913664,257138,32913664,257138,0,0,0,84460,10810834,84460,10810834,84460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86486672,86486672,304451392,100000211,null,null,null,null,null,null,null,null,null,

================== Periodic Results: GeneratorPortResults Record #7
ResultObject,ResultObjectName,ResultParent,ResultParentName,TotalFrameCount,TotalOctetCount,GeneratorFrameCount,GeneratorOctetCount,GeneratorSigFrameCount,GeneratorUndersizeFrameCount,GeneratorOversizeFrameCount,GeneratorJumboFrameCount,TotalFrameRate,TotalOctetRate,GeneratorFrameRate,GeneratorOctetRate,GeneratorSigFrameRate,GeneratorUndersizeFrameRate,GeneratorOversizeFrameRate,GeneratorJumboFrameRate,GeneratorCrcErrorFrameCount,GeneratorL3ChecksumErrorCount,GeneratorL4ChecksumErrorCount,GeneratorCrcErrorFrameRate,GeneratorL3ChecksumErrorRate,GeneratorL4ChecksumErrorRate,TotalIpv4FrameCount,TotalIpv6FrameCount,TotalMplsFrameCount,GeneratorIpv4FrameCount,GeneratorIpv6FrameCount,GeneratorVlanFrameCount,GeneratorMplsFrameCount,TotalIpv4FrameRate,TotalIpv6FrameRate,TotalMplsFrameRate,GeneratorIpv4FrameRate,GeneratorIpv6FrameRate,GeneratorVlanFrameRate,GeneratorMplsFrameRate,TotalBitRate,GeneratorBitRate,L1BitCount,L1BitRate,PfcFrameCount,PfcPri0FrameCount,PfcPri1FrameCount,PfcPri2FrameCount,PfcPri3FrameCount,PfcPri4FrameCount,PfcPri5FrameCount,PfcPri6FrameCount,PfcPri7FrameCount,

generatorportresults1,"",port1,"Port //2/1",357387,45745536,357387,45745536,357387,0,0,0,84460,10810813,84460,10810813,84460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86486504,86486504,423146208,100000015,null,null,null,null,null,null,null,null,null,
generatorportresults2,"",port2,"Port //2/2",395409,50612352,395409,50612352,395409,0,0,0,84459,10810799,84459,10810799,84459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86486392,86486392,468164256,99999886,null,null,null,null,null,null,null,null,null,
generatorportresults3,"",port3,"Port //2/3",357978,45821184,357978,45821184,357978,0,0,0,84459,10810800,84459,10810800,84459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86486400,86486400,423845952,99999897,null,null,null,null,null,null,null,null,null,
generatorportresults4,"",port4,"Port //2/4",395305,50599040,395305,50599040,395305,0,0,0,84459,10810790,84459,10810790,84459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86486320,86486320,468041120,99999811,null,null,null,null,null,null,null,null,null,
generatorportresults5,"",port5,"Port //2/5",389571,49865088,389571,49865088,389571,0,0,0,84460,10810789,84460,10810789,84460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86486312,86486312,461252064,99999800,null,null,null,null,null,null,null,null,null,
generatorportresults6,"",port6,"Port //2/6",341604,43725312,341604,43725312,341604,0,0,0,84460,10810818,84460,10810818,84460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86486544,86486544,404459136,100000061,null,null,null,null,null,null,null,null,null,

================== Periodic Results: GeneratorPortResults Record #8
ResultObject,ResultObjectName,ResultParent,ResultParentName,TotalFrameCount,TotalOctetCount,GeneratorFrameCount,GeneratorOctetCount,GeneratorSigFrameCount,GeneratorUndersizeFrameCount,GeneratorOversizeFrameCount,GeneratorJumboFrameCount,TotalFrameRate,TotalOctetRate,GeneratorFrameRate,GeneratorOctetRate,GeneratorSigFrameRate,GeneratorUndersizeFrameRate,GeneratorOversizeFrameRate,GeneratorJumboFrameRate,GeneratorCrcErrorFrameCount,GeneratorL3ChecksumErrorCount,GeneratorL4ChecksumErrorCount,GeneratorCrcErrorFrameRate,GeneratorL3ChecksumErrorRate,GeneratorL4ChecksumErrorRate,TotalIpv4FrameCount,TotalIpv6FrameCount,TotalMplsFrameCount,GeneratorIpv4FrameCount,GeneratorIpv6FrameCount,GeneratorVlanFrameCount,GeneratorMplsFrameCount,TotalIpv4FrameRate,TotalIpv6FrameRate,TotalMplsFrameRate,GeneratorIpv4FrameRate,GeneratorIpv6FrameRate,GeneratorVlanFrameRate,GeneratorMplsFrameRate,TotalBitRate,GeneratorBitRate,L1BitCount,L1BitRate,PfcFrameCount,PfcPri0FrameCount,PfcPri1FrameCount,PfcPri2FrameCount,PfcPri3FrameCount,PfcPri4FrameCount,PfcPri5FrameCount,PfcPri6FrameCount,PfcPri7FrameCount,

generatorportresults1,"",port1,"Port //2/1",441846,56556288,441846,56556288,441846,0,0,0,84460,10810828,84460,10810828,84460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86486624,86486624,523145664,100000153,null,null,null,null,null,null,null,null,null,
generatorportresults2,"",port2,"Port //2/2",479864,61422592,479864,61422592,479864,0,0,0,84459,10810807,84459,10810807,84459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86486456,86486456,568158976,99999969,null,null,null,null,null,null,null,null,null,
generatorportresults3,"",port3,"Port //2/3",442438,56632064,442438,56632064,442438,0,0,0,84459,10810836,84459,10810836,84459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86486688,86486688,523846592,100000229,null,null,null,null,null,null,null,null,null,
generatorportresults4,"",port4,"Port //2/4",479769,61410432,479769,61410432,479769,0,0,0,84460,10810837,84460,10810837,84460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86486696,86486696,568046496,100000240,null,null,null,null,null,null,null,null,null,
generatorportresults5,"",port5,"Port //2/5",474027,60675456,474027,60675456,474027,0,0,0,84460,10810823,84460,10810823,84460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86486584,86486584,561247968,100000112,null,null,null,null,null,null,null,null,null,
generatorportresults6,"",port6,"Port //2/6",426057,54535296,426057,54535296,426057,0,0,0,84460,10810823,84460,10810823,84460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86486584,86486584,504451488,100000115,null,null,null,null,null,null,null,null,null,

================== Periodic Results: GeneratorPortResults Record #9
ResultObject,ResultObjectName,ResultParent,ResultParentName,TotalFrameCount,TotalOctetCount,GeneratorFrameCount,GeneratorOctetCount,GeneratorSigFrameCount,GeneratorUndersizeFrameCount,GeneratorOversizeFrameCount,GeneratorJumboFrameCount,TotalFrameRate,TotalOctetRate,GeneratorFrameRate,GeneratorOctetRate,GeneratorSigFrameRate,GeneratorUndersizeFrameRate,GeneratorOversizeFrameRate,GeneratorJumboFrameRate,GeneratorCrcErrorFrameCount,GeneratorL3ChecksumErrorCount,GeneratorL4ChecksumErrorCount,GeneratorCrcErrorFrameRate,GeneratorL3ChecksumErrorRate,GeneratorL4ChecksumErrorRate,TotalIpv4FrameCount,TotalIpv6FrameCount,TotalMplsFrameCount,GeneratorIpv4FrameCount,GeneratorIpv6FrameCount,GeneratorVlanFrameCount,GeneratorMplsFrameCount,TotalIpv4FrameRate,TotalIpv6FrameRate,TotalMplsFrameRate,GeneratorIpv4FrameRate,GeneratorIpv6FrameRate,GeneratorVlanFrameRate,GeneratorMplsFrameRate,TotalBitRate,GeneratorBitRate,L1BitCount,L1BitRate,PfcFrameCount,PfcPri0FrameCount,PfcPri1FrameCount,PfcPri2FrameCount,PfcPri3FrameCount,PfcPri4FrameCount,PfcPri5FrameCount,PfcPri6FrameCount,PfcPri7FrameCount,

generatorportresults1,"",port1,"Port //2/1",526306,67367168,526306,67367168,526306,0,0,0,84460,10810838,84460,10810838,84460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86486704,86486704,623146304,100000250,null,null,null,null,null,null,null,null,null,
generatorportresults2,"",port2,"Port //2/2",564330,72234240,564330,72234240,564330,0,0,0,84460,10810829,84460,10810829,84460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86486632,86486632,668166720,100000166,null,null,null,null,null,null,null,null,null,
generatorportresults3,"",port3,"Port //2/3",526894,67442432,526894,67442432,526894,0,0,0,84459,10810811,84459,10810811,84459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86486488,86486488,623842496,99999998,null,null,null,null,null,null,null,null,null,
generatorportresults4,"",port4,"Port //2/4",564227,72221056,564227,72221056,564227,0,0,0,84460,10810852,84460,10810852,84460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86486816,86486816,668044768,100000383,null,null,null,null,null,null,null,null,null,
generatorportresults5,"",port5,"Port //2/5",558492,71486976,558492,71486976,558492,0,0,0,84459,10810808,84459,10810808,84459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86486464,86486464,661254528,99999969,null,null,null,null,null,null,null,null,null,
generatorportresults6,"",port6,"Port //2/6",510518,65346304,510518,65346304,510518,0,0,0,84459,10810795,84459,10810795,84459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86486360,86486360,604453312,99999851,null,null,null,null,null,null,null,null,null,

================== Periodic Results: GeneratorPortResults Record #10
