Device Fuse Register Read,
FW Version,8524
0x45,01df,0.13,2.512,33.0,12.98,9174
0x47,01df,0.54,3.28,178.48,49.036,ade8
Total Power,,,,2390.08

Test Condition,Power Measurement - At Reset Condition
Register,Address,Value
Res_Req Reg,fa01,0x0x0030

Power Measurement Results
ADDR,Config_Reg,Shunt_Voltage,Bus_Voltage,Power,Current,Calibration
0x40,01df,3.5,1.108,389.4,350.02,9174
0x41,01df,0.45,2.504,112.2,44.99,9174
0x43,01df,2.66,3.292,874.0,265.972,ade8
0x44,01df,7.28,1.104,803.0,727.98,9174
0x45,01df,0.13,2.512,33.0,12.98,9174
0x47,01df,0.49,3.28,161.92,49.036,ade8
Total Power,,,,2373.52

Test Condition,Power Measurement - All Port Enabled
Register,Address,Value
Res_Req Reg,FA01,0x0000

Power Measurement Results
ADDR,Config_Reg,Shunt_Voltage,Bus_Voltage,Power,Current,Calibration
0x40,01df,1.45,1.112,162.8,144.98,9174
0x41,01df,0.45,2.508,112.2,44.99,9174
0x43,01df,0.39,3.296,128.8,39.008,ade8
0x44,01df,2.41,1.112,266.2,241.01,9174
0x45,01df,0.13,2.512,33.0,12.98,9174
0x47,01df,0.6,3.28,189.52,57.96,ade8
Total Power,,,,892.52

Test Condition,Power Measurement - Uc Disabled
Register,Address,Value
Res_Req Reg,FA01,0x0010

Power Measurement Results
ADDR,Config_Reg,Shunt_Voltage,Bus_Voltage,Power,Current,Calibration
0x40,01df,3.5,1.112,389.4,350.02,9174
0x41,01df,0.45,2.504,112.2,44.99,9174
0x43,01df,2.66,3.292,874.0,265.972,ade8
0x44,01df,7.19,1.104,792.0,718.96,9174
0x45,01df,0.13,2.512,33.0,12.98,9174
0x47,01df,0.49,3.28,178.48,49.036,ade8
Total Power,,,,2379.08

Test Condition,Power Measurement - SGMII PHY in Low Power Mode
Register,Address,Value
Res_Req Reg,D009,0x000C

Power Measurement Results
ADDR,Config_Reg,Shunt_Voltage,Bus_Voltage,Power,Current,Calibration
0x40,01df,3.5,1.108,389.4,350.02,9174
0x41,01df,0.45,2.508,112.2,44.99,9174
0x43,01df,2.65,3.292,874.0,264.96,ade8
0x44,01df,7.2,1.104,796.4,719.95,9174
0x45,01df,0.13,2.508,33.0,12.98,9174
0x47,01df,0.49,3.28,160.08,49.036,ade8
Total Power,,,,2365.08

Test Condition,Power Measurement - SGMII Port Disabled
Register,Address,Value
Res_Req Reg,FA01,0x0030

Power Measurement Results
ADDR,Config_Reg,Shunt_Voltage,Bus_Voltage,Power,Current,Calibration
0x40,01df,3.5,1.108,389.4,350.02,9174
0x41,01df,0.45,2.508,112.2,44.99,9174
0x43,01df,2.66,3.296,874.0,265.972,ade8
0x44,01df,7.2,1.104,796.4,719.95,9174
0x45,01df,0.13,2.512,33.0,12.98,9174
0x47,01df,0.54,3.28,171.12,49.036,ade8
Total Power,,,,2376.12

Test Condition,Power Measurement - GPHY0 Disabled
Register,Address,Value
Res_Req Reg,FA01,0x0031

Power Measurement Results
ADDR,Config_Reg,Shunt_Voltage,Bus_Voltage,Power,Current,Calibration
0x40,01df,2.71,1.112,299.2,271.04,9174
0x41,01df,0.45,2.504,112.2,44.99,9174
0x43,01df,2.11,3.296,695.52,210.956,ade8
0x44,01df,5.9,1.108,653.4,590.04,9174
0x45,01df,0.13,2.512,33.0,12.98,9174
0x47,01df,0.44,3.28,145.36,43.976,ade8
Total Power,,,,1938.68

Test Condition,"Power Measurement - GPHY0,GPHY1 Disabled"
Register,Address,Value
Res_Req Reg,FA01,0x0033

Power Measurement Results
ADDR,Config_Reg,Shunt_Voltage,Bus_Voltage,Power,Current,Calibration
0x40,01df,1.9,1.112,213.4,189.97,9174
0x41,01df,0.45,2.508,112.2,44.99,9174
0x43,01df,1.54,3.296,506.0,154.008,ade8
0x44,01df,4.62,1.108,512.6,462.0,9174
0x45,01df,0.13,2.508,33.0,12.98,9174
0x47,01df,0.37,3.28,112.24,37.996,ade8
Total Power,,,,1489.44

Test Condition,"Power Measurement - GPHY0,GPHY1,GPHY2 Disabled"
Register,Address,Value
Res_Req Reg,FA01,0x0037

Power Measurement Results
ADDR,Config_Reg,Shunt_Voltage,Bus_Voltage,Power,Current,Calibration
0x40,01df,1.08,1.112,118.8,108.02,9174
0x41,01df,0.45,2.508,112.2,44.99,9174
0x43,01df,0.97,3.296,320.16,96.968,ade8
0x44,01df,3.18,1.108,354.2,318.01,9174
0x45,01df,0.13,2.512,33.0,12.98,9174
0x47,01df,0.35,3.28,117.76,34.96,ade8
Total Power,,,,1056.12

Test Condition,"Power Measurement - GPHY0,GPHY1,GPHY2,GPHY3 Disabled"
Register,Address,Value
Res_Req Reg,FA01,0x003F

Power Measurement Results
ADDR,Config_Reg,Shunt_Voltage,Bus_Voltage,Power,Current,Calibration
0x40,01df,0.26,1.112,28.6,25.96,9174
0x41,01df,0.45,2.508,112.2,44.99,9174
0x43,01df,0.39,3.296,128.8,39.008,ade8
0x44,01df,1.65,1.112,184.8,165.0,9174
0x45,01df,0.13,2.512,33.0,12.98,9174
0x47,01df,0.3,3.28,99.36,29.992,ade8
Total Power,,,,586.76

Test Condition,Power Measurement - ROPLL Disabled
Register,Address,Value
Res_Req Reg,F980,0x0000

Power Measurement Results
ADDR,Config_Reg,Shunt_Voltage,Bus_Voltage,Power,Current,Calibration
0x40,01df,0.26,1.112,28.6,25.96,9174
0x41,01df,0.45,2.508,112.2,44.99,9174
0x43,01df,0.36,3.296,117.76,35.972,ade8
0x44,01df,1.61,1.112,180.4,161.04,9174
0x45,01df,0.07,2.508,17.6,7.04,9174
0x47,01df,0.3,3.28,99.36,29.992,ade8
Total Power,,,,555.92

Test Condition,Power Measurement - CDB Disabled
Register,Address,Value
Res_Req Reg,F880,0x0000

Power Measurement Results
ADDR,Config_Reg,Shunt_Voltage,Bus_Voltage,Power,Current,Calibration
0x40,01df,0.09,1.112,6.6,9.02,9174
0x41,01df,0.46,2.508,114.4,45.98,9174
0x43,01df,0.28,3.296,93.84,27.968,ade8
0x44,01df,0.1,1.108,11.0,10.01,9174
0x45,01df,0.07,2.512,17.6,7.04,9174
0x47,01df,0.44,3.28,145.36,43.976,ade8
Total Power,,,,388.8

