Device Fuse Register Read,

Power Measurement Results
ADDR,Config_Reg,Shunt_Voltage,Bus_Voltage,Power,Current,Calibration
0x40,01df,3.98,1.108,440.0,397.98,9174
0x41,01df,0.45,2.504,112.2,44.99,9174
0x43,01df,2.61,3.292,862.96,261.004,ade8
0x44,01df,4.91,1.108,541.2,491.04,9174
0x45,01df,0.13,2.512,33.0,12.98,9174
0x47,01df,0.73,3.28,250.24,66.976,ade8
Total Power,,,,2239.6

Test Condition,Power Measurement - All Port Enabled
Register,Address,Value
Res_Req Reg,FA01,0x0000

Power Measurement Results
ADDR,Config_Reg,Shunt_Voltage,Bus_Voltage,Power,Current,Calibration
0x40,01df,3.98,1.108,440.0,397.98,9174
0x41,01df,0.45,2.504,112.2,44.99,9174
0x43,01df,2.61,3.292,859.28,261.004,ade8
0x44,01df,4.91,1.108,543.4,491.04,9174
0x45,01df,0.13,2.512,33.0,12.98,9174
0x47,01df,0.68,3.28,220.8,67.988,ade8
Total Power,,,,2208.68

Test Condition,Power Measurement - Uc Disabled
Register,Address,Value
Res_Req Reg,FA01,0x0010

Power Measurement Results
ADDR,Config_Reg,Shunt_Voltage,Bus_Voltage,Power,Current,Calibration
0x40,01df,3.98,1.108,440.0,397.98,9174
0x41,01df,0.45,2.504,112.2,44.99,9174
0x43,01df,2.61,3.292,862.96,261.004,ade8
0x44,01df,4.92,1.108,543.4,492.03,9174
0x45,01df,0.13,2.508,33.0,11.99,9174
0x47,01df,0.68,3.28,198.72,66.976,ade8
Total Power,,,,2190.28

Test Condition,Power Measurement - SGMII PHY in Low Power Mode
Register,Address,Value
Res_Req Reg,D009,0x000C

Power Measurement Results
ADDR,Config_Reg,Shunt_Voltage,Bus_Voltage,Power,Current,Calibration
0x40,01df,3.98,1.108,440.0,397.98,9174
0x41,01df,0.45,2.508,112.2,44.99,9174
0x43,01df,2.61,3.292,859.28,261.004,ade8
0x44,01df,4.92,1.108,543.4,492.03,9174
0x45,01df,0.13,2.512,33.0,12.98,9174
0x47,01df,0.68,3.28,198.72,62.008,ade8
Total Power,,,,2186.6

Test Condition,Power Measurement - SGMII Port Disabled
Register,Address,Value
Res_Req Reg,FA01,0x0030

Power Measurement Results
ADDR,Config_Reg,Shunt_Voltage,Bus_Voltage,Power,Current,Calibration
0x40,01df,3.98,1.108,440.0,397.98,9174
0x41,01df,0.45,2.508,112.2,44.99,9174
0x43,01df,2.61,3.292,859.28,262.016,ade8
0x44,01df,4.92,1.108,543.4,492.03,9174
0x45,01df,0.12,2.512,33.0,12.98,9174
0x47,01df,0.67,3.28,198.72,60.996,ade8
Total Power,,,,2186.6

Test Condition,Power Measurement - GPHY0 Disabled
Register,Address,Value
Res_Req Reg,FA01,0x0031

Power Measurement Results
ADDR,Config_Reg,Shunt_Voltage,Bus_Voltage,Power,Current,Calibration
0x40,01df,2.43,1.108,270.6,242.99,9174
0x41,01df,0.45,2.508,112.2,44.99,9174
0x43,01df,1.5,3.292,494.96,149.96,ade8
0x44,01df,4.0,1.108,444.4,398.97,9174
0x45,01df,0.13,2.512,33.0,12.98,9174
0x47,01df,0.55,3.28,195.04,55.016,ade8
Total Power,,,,1550.2

Test Condition,"Power Measurement - GPHY0,GPHY1 Disabled"
Register,Address,Value
Res_Req Reg,FA01,0x0033

Power Measurement Results
ADDR,Config_Reg,Shunt_Voltage,Bus_Voltage,Power,Current,Calibration
0x40,01df,0.7,1.112,74.8,68.97,9174
0x41,01df,0.45,2.508,112.2,44.99,9174
0x43,01df,0.39,3.296,128.8,39.008,ade8
0x44,01df,2.02,1.112,224.4,201.96,9174
0x45,01df,0.13,2.508,33.0,12.98,9174
0x47,01df,0.43,3.28,141.68,44.988,ade8
Total Power,,,,714.88

Test Condition,"Power Measurement - GPHY0,GPHY1,GPHY2 Disabled"
Register,Address,Value
Res_Req Reg,FA01,0x0037

Power Measurement Results
ADDR,Config_Reg,Shunt_Voltage,Bus_Voltage,Power,Current,Calibration
0x40,01df,0.39,1.112,44.0,39.05,9174
0x41,01df,0.45,2.508,112.2,44.99,9174
0x43,01df,0.39,3.296,128.8,39.008,ade8
0x44,01df,1.81,1.112,202.4,180.95,9174
0x45,01df,0.13,2.508,33.0,12.98,9174
0x47,01df,0.36,3.28,121.44,35.972,ade8
Total Power,,,,641.84

Test Condition,"Power Measurement - GPHY0,GPHY1,GPHY2,GPHY3 Disabled"
Register,Address,Value
Res_Req Reg,FA01,0x003F

Power Measurement Results
ADDR,Config_Reg,Shunt_Voltage,Bus_Voltage,Power,Current,Calibration
0x40,01df,0.26,1.108,28.6,25.96,9174
0x41,01df,0.45,2.508,112.2,44.99,9174
0x43,01df,0.39,3.296,128.8,39.008,ade8
0x44,01df,1.61,1.112,180.4,161.04,9174
0x45,01df,0.13,2.508,33.0,12.98,9174
0x47,01df,0.37,3.28,117.76,37.996,ade8
Total Power,,,,600.76

Test Condition,Power Measurement - ROPLL Disabled
Register,Address,Value
Res_Req Reg,F980,0x0000

Power Measurement Results
ADDR,Config_Reg,Shunt_Voltage,Bus_Voltage,Power,Current,Calibration
0x40,01df,0.26,1.112,28.6,25.96,9174
0x41,01df,0.45,2.508,112.2,44.99,9174
0x43,01df,0.35,3.296,114.08,34.96,ade8
0x44,01df,1.58,1.112,176.0,157.96,9174
0x45,01df,0.07,2.512,17.6,6.05,9174
0x47,01df,0.36,3.28,123.28,36.984,ade8
Total Power,,,,571.76

Test Condition,Power Measurement - CDB Disabled
Register,Address,Value
Res_Req Reg,F880,0x0000

Power Measurement Results
ADDR,Config_Reg,Shunt_Voltage,Bus_Voltage,Power,Current,Calibration
0x40,01df,0.09,1.108,11.0,9.02,9174
0x41,01df,0.44,2.508,112.2,44.0,9174
0x43,01df,0.28,3.296,93.84,27.968,ade8
0x44,01df,0.1,1.108,11.0,10.01,9174
0x45,01df,0.07,2.508,17.6,7.04,9174
0x47,01df,0.23,3.28,75.44,23.0,ade8
Total Power,,,,321.08

