Device Fuse Register Read,

Power Measurement Results
ADDR,Config_Reg,Shunt_Voltage,Bus_Voltage,Power,Current,Calibration
0x40,01df,3.96,1.104,435.6,396.0,9174
0x41,01df,0.45,2.504,112.2,44.99,9174
0x43,01df,2.61,3.276,855.6,261.004,ade8
0x44,01df,5.82,1.104,642.4,582.01,9174
0x45,01df,0.12,2.496,28.6,11.99,9174
0x47,01df,0.74,3.26,226.32,73.968,ade8
Total Power,,,,2300.72

Test Condition,Power Measurement - All Port Enabled
Register,Address,Value
Res_Req Reg,FA01,0x0000

Power Measurement Results
ADDR,Config_Reg,Shunt_Voltage,Bus_Voltage,Power,Current,Calibration
0x40,01df,3.96,1.104,435.6,396.0,9174
0x41,01df,0.45,2.5,112.2,44.99,9174
0x43,01df,2.61,3.276,855.6,259.992,ade8
0x44,01df,5.82,1.104,642.4,582.01,9174
0x45,01df,0.12,2.5,28.6,11.99,9174
0x47,01df,0.66,3.26,213.44,73.968,ade8
Total Power,,,,2287.84

Test Condition,Power Measurement - Uc Disabled
Register,Address,Value
Res_Req Reg,FA01,0x0010

Power Measurement Results
ADDR,Config_Reg,Shunt_Voltage,Bus_Voltage,Power,Current,Calibration
0x40,01df,3.96,1.104,435.6,396.0,9174
0x41,01df,0.45,2.504,112.2,44.99,9174
0x43,01df,2.6,3.276,855.6,261.004,ade8
0x44,01df,5.83,1.104,644.6,583.0,9174
0x45,01df,0.12,2.5,28.6,11.99,9174
0x47,01df,0.6,3.26,204.24,64.032,ade8
Total Power,,,,2280.84

Test Condition,Power Measurement - SGMII PHY in Low Power Mode
Register,Address,Value
Res_Req Reg,D009,0x000C

Power Measurement Results
ADDR,Config_Reg,Shunt_Voltage,Bus_Voltage,Power,Current,Calibration
0x40,01df,3.96,1.104,435.6,396.0,9174
0x41,01df,0.45,2.504,112.2,44.99,9174
0x43,01df,2.6,3.276,853.76,259.992,ade8
0x44,01df,5.83,1.104,644.6,583.0,9174
0x45,01df,0.12,2.5,33.0,11.99,9174
0x47,01df,0.63,3.26,217.12,59.984,ade8
Total Power,,,,2296.28

Test Condition,Power Measurement - SGMII Port Disabled
Register,Address,Value
Res_Req Reg,FA01,0x0030

Power Measurement Results
ADDR,Config_Reg,Shunt_Voltage,Bus_Voltage,Power,Current,Calibration
0x40,01df,3.96,1.104,435.6,396.0,9174
0x41,01df,0.45,2.5,112.2,44.99,9174
0x43,01df,2.61,3.276,853.76,261.004,ade8
0x44,01df,5.83,1.104,644.6,583.0,9174
0x45,01df,0.12,2.5,28.6,11.99,9174
0x47,01df,0.67,3.26,217.12,66.976,ade8
Total Power,,,,2291.88

Test Condition,Power Measurement - GPHY0 Disabled
Register,Address,Value
Res_Req Reg,FA01,0x0031

Power Measurement Results
ADDR,Config_Reg,Shunt_Voltage,Bus_Voltage,Power,Current,Calibration
0x40,01df,2.42,1.104,266.2,242.0,9174
0x41,01df,0.45,2.504,112.2,44.99,9174
0x43,01df,1.51,3.28,494.96,150.972,ade8
0x44,01df,3.97,1.104,440.0,396.99,9174
0x45,01df,0.13,2.5,28.6,11.99,9174
0x47,01df,0.59,3.26,187.68,57.04,ade8
Total Power,,,,1529.64

Test Condition,"Power Measurement - GPHY0,GPHY1 Disabled"
Register,Address,Value
Res_Req Reg,FA01,0x0033

Power Measurement Results
ADDR,Config_Reg,Shunt_Voltage,Bus_Voltage,Power,Current,Calibration
0x40,01df,0.83,1.108,94.6,84.04,9174
0x41,01df,0.45,2.504,112.2,44.99,9174
0x43,01df,0.38,3.28,123.28,37.996,ade8
0x44,01df,2.0,1.108,220.0,199.98,9174
0x45,01df,0.12,2.496,28.6,12.98,9174
0x47,01df,0.42,3.26,136.16,44.988,ade8
Total Power,,,,714.84

Test Condition,"Power Measurement - GPHY0,GPHY1,GPHY2 Disabled"
Register,Address,Value
Res_Req Reg,FA01,0x0037

Power Measurement Results
ADDR,Config_Reg,Shunt_Voltage,Bus_Voltage,Power,Current,Calibration
0x40,01df,0.38,1.108,44.0,37.95,9174
0x41,01df,0.45,2.504,112.2,44.99,9174
0x43,01df,0.38,3.28,123.28,37.996,ade8
0x44,01df,1.79,1.108,198.0,179.96,9174
0x45,01df,0.13,2.496,28.6,11.99,9174
0x47,01df,0.37,3.26,117.76,35.972,ade8
Total Power,,,,623.84

Test Condition,"Power Measurement - GPHY0,GPHY1,GPHY2,GPHY3 Disabled"
Register,Address,Value
Res_Req Reg,FA01,0x003F

Power Measurement Results
ADDR,Config_Reg,Shunt_Voltage,Bus_Voltage,Power,Current,Calibration
0x40,01df,0.25,1.108,28.6,24.97,9174
0x41,01df,0.45,2.504,112.2,44.99,9174
0x43,01df,0.38,3.28,123.28,37.996,ade8
0x44,01df,1.6,1.108,176.0,160.05,9174
0x45,01df,0.12,2.496,28.6,12.98,9174
0x47,01df,0.37,3.26,117.76,35.972,ade8
Total Power,,,,586.44

Test Condition,Power Measurement - ROPLL Disabled
Register,Address,Value
Res_Req Reg,F980,0x0000

Power Measurement Results
ADDR,Config_Reg,Shunt_Voltage,Bus_Voltage,Power,Current,Calibration
0x40,01df,0.25,1.112,28.6,24.97,9174
0x41,01df,0.44,2.504,112.2,44.0,9174
0x43,01df,0.35,3.28,114.08,34.96,ade8
0x44,01df,1.57,1.108,173.8,156.97,9174
0x45,01df,0.06,2.5,15.4,6.05,9174
0x47,01df,0.37,3.26,117.76,35.972,ade8
Total Power,,,,561.84

Test Condition,Power Measurement - CDB Disabled
Register,Address,Value
Res_Req Reg,F880,0x0000

Power Measurement Results
ADDR,Config_Reg,Shunt_Voltage,Bus_Voltage,Power,Current,Calibration
0x40,01df,0.08,1.112,6.6,8.03,9174
0x41,01df,0.44,2.504,112.2,44.0,9174
0x43,01df,0.27,3.28,88.32,26.956,ade8
0x44,01df,0.09,1.112,11.0,9.02,9174
0x45,01df,0.06,2.5,15.4,6.05,9174
0x47,01df,0.22,3.26,71.76,21.988,ade8
Total Power,,,,305.28

